"","state","year","smoothed_pcinc","nat_avg_pcinc","index_number","allotment_pct","population","weighted_pop","allocation_share","total_federal_hbfunds","predicted_allocation"
"142","Georgia",1960,1528.66666666667,1922.90972222222,0.794975785394675,0.602512107302663,3956000,1436110.44084954,0.0359186416339685,1.85e+08,6644948.70228417
"143","Georgia",1961,1578.66666666667,1984.125,0.795648795648796,0.602175602175602,4015000,1455901.05526003,0.0358429236010377,1.85e+08,6630940.86619198
"144","Georgia",1962,1634,2041.64583333333,0.80033469729283,0.599832651353585,4086000,1470139.57054766,0.0356394242982699,209728000,7474585.17922756
"145","Idaho",1947,1074,1099.90972222222,0.976443773794566,0.511778113102717,522000,136720.58894061,0.00408867066186872,7.5e+07,306650.299640154
"146","Idaho",1948,1131.66666666667,1142.67361111111,0.990367376705461,0.50481631164727,551000,140416.569186339,0.00415589712129888,7.5e+07,311692.284097416
"147","Idaho",1949,1190,1187.54861111111,1.00206424298421,0.498967878507897,570000,141912.297956123,0.0040954519364916,7.5e+07,307158.89523687
"148","Idaho",1950,1258.33333333333,1255.18055555556,1.00251181215629,0.498744093921857,590000,146759.946020941,0.00413254812083946,1.5e+08,619882.218125919
"149","Idaho",1951,1284.33333333333,1298.19444444444,0.98932277736172,0.50533861131914,589000,150411.229020984,0.00419510917556518,8.5e+07,356584.27992304
"150","Idaho",1952,1305,1355.4375,0.96278876746438,0.51860561626781,587000,157874.69792679,0.00436915976409495,82500000,360455.680537834
"151","Idaho",1953,1359,1430.39583333333,0.950086660161086,0.524956669919457,596000,164245.385154584,0.00450941529888378,7.5e+07,338206.147416283
"152","Idaho",1954,1482.66666666667,1547.58333333333,0.958052878143342,0.520973560928329,6e+05,162848.070711806,0.00440392786850868,6.5e+07,286255.311453064
"153","Idaho",1955,1556,1641.98611111111,0.947632863317629,0.526183568341186,618000,171105.133212019,0.00457485613071325,9.6e+07,439186.188548472
"154","Idaho",1956,1576.66666666667,1678.21527777778,0.939490116401766,0.530254941799117,628000,176574.950473898,0.00467558932543852,109800000,513379.707933149
"155","Idaho",1957,1559.66666666667,1717.28472222222,0.908216701915573,0.545891649042214,642000,191314.518581166,0.00502287269940772,123800000,621831.640186676
"156","Idaho",1958,1620,1771.44444444444,0.914507934516716,0.542746032741642,646000,190294.323412687,0.00493738253588237,1.2e+08,592485.904305885
"157","Idaho",1959,1696,1854.77083333333,0.914398679082097,0.542800660458951,657000,193573.589945501,0.00494924379651876,1.85e+08,915610.10235597
"158","Idaho",1960,1768.66666666667,1922.90972222222,0.919786637004829,0.540106681497586,671000,195740.917584282,0.00489568745677728,1.85e+08,905702.179503797
"159","Idaho",1961,1820.66666666667,1984.125,0.917616917616918,0.541191541191541,684000,200335.586431976,0.00493207494637604,1.85e+08,912433.865079567
"160","Idaho",1962,1855,2041.64583333333,0.908580699803059,0.54570965009847,692000,206076.923369732,0.00499575894506395,209728000,1047750.53203037
"161","Illinois",1947,1368.66666666667,1099.90972222222,1.24434454847936,0.377827725760321,8344000,1191137.62670724,0.0356213318440382,7.5e+07,2671599.88830287
"162","Illinois",1948,1459,1142.67361111111,1.27683004649184,0.361584976754079,8552000,1118120.08318265,0.0330929039349959,7.5e+07,2481967.7951247
"163","Illinois",1949,1540.66666666667,1187.54861111111,1.29735040086078,0.351324799569608,8670000,1070130.42525206,0.0308829311167394,7.5e+07,2316219.83375545
"164","Illinois",1950,1653.66666666667,1255.18055555556,1.31747313910128,0.34126343044936,8738000,1017633.84967052,0.028655099481697,1.5e+08,4298264.92225455
"165","Illinois",1951,1703.66666666667,1298.19444444444,1.31233550871938,0.343832245640312,8790000,1039159.18951871,0.0289831170132558,8.5e+07,2463564.94612674
"166","Illinois",1952,1769.33333333333,1355.4375,1.30535958561965,0.347320207190175,8956000,1080374.15854544,0.0298992008578448,82500000,2466684.0707722
"167","Illinois",1953,1843,1430.39583333333,1.28845453618608,0.35577273190696,9065000,1147395.45630683,0.0315021491755768,7.5e+07,2362661.18816826
"168","Illinois",1954,1979.66666666667,1547.58333333333,1.2791987507404,0.360400624629799,9252000,1201729.4218808,0.0324985716336398,6.5e+07,2112407.15618659
"169","Illinois",1955,2106,1641.98611111111,1.28259306564712,0.358703467176438,9435000,1213984.25343309,0.0324584259989789,9.6e+07,3116008.89590197
"170","Illinois",1956,2156,1678.21527777778,1.28469811266102,0.35765094366949,9530000,1219022.30224816,0.0322789141300399,109800000,3544224.77147838
"171","Illinois",1957,2216,1717.28472222222,1.29040919733591,0.354795401332045,9668000,1217005.68216395,0.0319519117592322,123800000,3955646.67579294
"172","Illinois",1958,2298.33333333333,1771.44444444444,1.29743461080098,0.351282694599511,9886000,1219927.76865707,0.0316522844821959,1.2e+08,3798274.13786351
"173","Illinois",1959,2413.66666666667,1854.77083333333,1.30132878050972,0.349335609745139,9986000,1218645.18720478,0.0311580321190963,1.85e+08,5764235.94203282
