"","stateyear","predicted","hbfunds"
"412","nevada_1958",2e+05,581481
"413","nevada_1959",2e+05,387865
"414","nevada_1960",2e+05,665529
"415","nevada_1961",2e+05,112078
"416","nevada_1962",2e+05,1308398
"417","new hampshire_1947",313890.319070742,NA
"418","new hampshire_1948",308607.750536187,302056
"419","new hampshire_1949",303771.234205667,743981
"420","new hampshire_1950",598612.889106668,988585
"421","new hampshire_1951",335738.870843379,NA
"422","new hampshire_1952",333057.68065744,252000
"423","new hampshire_1953",307376.602393358,852147
"424","new hampshire_1954",268918.547407831,NA
"425","new hampshire_1955",389145.064652146,NA
"426","new hampshire_1956",432527.048480161,919713
"427","new hampshire_1957",463686.161319771,888762
"428","new hampshire_1958",436772.577858782,832174
"429","new hampshire_1959",668353.008519149,545765
"430","new hampshire_1960",674443.133307219,463823
"431","new hampshire_1961",663910.944587329,1987851
"432","new hampshire_1962",753470.535151714,1220753
"433","new jersey_1947",1130396.23653564,NA
"434","new jersey_1948",1154032.36348245,2486639
"435","new jersey_1949",1256504.32651388,2187955
"436","new jersey_1950",2844696.38868798,3756309
"437","new jersey_1951",1716365.46058463,4612632
"438","new jersey_1952",1671373.36420803,NA
"439","new jersey_1953",1469309.40703698,14280
"440","new jersey_1954",1249522.03877347,NA
"441","new jersey_1955",1800677.16500845,2247913
"442","new jersey_1956",1994215.31298913,2375512
"443","new jersey_1957",2236890.54325667,67263
"444","new jersey_1958",2194413.29355444,4906351
"445","new jersey_1959",3393900.49734384,557866
"446","new jersey_1960",3575610.21484846,3250025
"447","new jersey_1961",3802360.48355503,3533845
"448","new jersey_1962",4505591.06289805,4227710
"449","new mexico_1947",482784.582115474,112406
"450","new mexico_1948",483468.586025999,2125600
"451","new mexico_1949",498547.060935484,NA
"452","new mexico_1950",1035384.26165993,1620122
"453","new mexico_1951",576242.91626627,NA
"454","new mexico_1952",556344.687162144,NA
"455","new mexico_1953",508556.922286414,9116
"456","new mexico_1954",441666.872020909,231936
"457","new mexico_1955",663609.567790403,NA
"458","new mexico_1956",765830.022879948,1836158
"459","new mexico_1957",894025.96732995,1256123
"460","new mexico_1958",882800.545643924,501575
"461","new mexico_1959",1365199.84023142,2601810
"462","new mexico_1960",1335656.37908399,917675
"463","new mexico_1961",1283285.81907103,1141268
"464","new mexico_1962",1453608.59953774,733293
"465","new york_1947",3417812.1300439,NA
"466","new york_1948",3504400.32957793,6814509
"467","new york_1949",3510136.22740985,5612698
"468","new york_1950",6837454.16978912,4707487
"469","new york_1951",3909493.37118283,3537059
"470","new york_1952",4134005.02849458,3028556
"471","new york_1953",3975633.87398413,2757207
"472","new york_1954",3725908.39183087,2291024
"473","new york_1955",5714525.85361998,4480526
"474","new york_1956",6411826.74798601,4572715
"475","new york_1957",6943480.64850561,6061433
"476","new york_1958",6512170.08020106,13589751
"477","new york_1959",9810308.21243257,7783852
"478","new york_1960",9531466.85490796,7163999
"479","new york_1961",9143774.61910986,3349016
"480","new york_1962",9949574.28534591,10601664
"481","north carolina_1947",3647823.56685137,1857342
"482","north carolina_1948",3541618.78445885,1260910
"483","north carolina_1949",3467454.9523054,3545759
"484","north carolina_1950",6954006.9834192,7494597
"485","north carolina_1951",3940127.17328195,5394939
"486","north carolina_1952",3704776.54585742,2758914
"487","north carolina_1953",3316901.68775535,1218275
"488","north carolina_1954",2839516.54169607,2845187
"489","north carolina_1955",4280143.44980879,3125903
"490","north carolina_1956",4893774.77106134,5556002
"491","north carolina_1957",5458163.31799308,2933560
"492","north carolina_1958",5172228.44757336,7656114
"493","north carolina_1959",8147709.75833098,9999747
"494","north carolina_1960",8220886.27206194,8513347
"495","north carolina_1961",8247638.6072731,6817919
"496","north carolina_1962",9119444.83079434,5960368
"497","north dakota_1947",389518.2442053,NA
"498","north dakota_1948",385999.700811003,479567
"499","north dakota_1949",326613.392116785,229306
"500","north dakota_1950",583920.458006096,395493
"501","north dakota_1951",316701.584344561,473266
"502","north dakota_1952",348634.098533789,21565
"503","north dakota_1953",345890.01376658,221495
"504","north dakota_1954",323172.336777654,318134
"505","north dakota_1955",525614.693710343,515343
"506","north dakota_1956",629923.75193351,1181052
"507","north dakota_1957",682793.820829479,783084
"508","north dakota_1958",626925.224467168,1130907
"509","north dakota_1959",960036.817942271,1098152
"510","north dakota_1960",903371.28393441,1496982
"511","north dakota_1961",908163.868878031,1086553
"512","north dakota_1962",983905.601604026,1215295
"513","ohio_1947",2876494.28726758,NA
"514","ohio_1948",3121590.91216483,5007818
"515","ohio_1949",3233481.7675512,5951656
"516","ohio_1950",6464171.49373815,5722904
"517","ohio_1951",3675927.71564729,1807244
"518","ohio_1952",3609386.84840522,5903137
"519","ohio_1953",3304597.33409607,1267884
"520","ohio_1954",2823156.54817658,562984
"521","ohio_1955",4010219.40465404,1356599
"522","ohio_1956",4631308.83400266,4079908
"523","ohio_1957",5205350.88421919,4183131
"524","ohio_1958",5158378.07823467,5205052
"525","ohio_1959",7944088.89213518,6478260
"526","ohio_1960",8305527.19165996,6293327
"527","ohio_1961",8535772.58674704,6600515
"528","ohio_1962",9762128.51558725,4937188
"529","oklahoma_1947",1680587.6296679,863370
"530","oklahoma_1948",1580809.21335505,2515950
"531","oklahoma_1949",1582493.56184874,2330363
"532","oklahoma_1950",3273969.59610394,4924908
"533","oklahoma_1951",1733327.2103302,211655
"534","oklahoma_1952",1690409.16872352,2095416
"535","oklahoma_1953",1518519.54924113,1602312
"536","oklahoma_1954",1340862.92374185,334654
"537","oklahoma_1955",1926364.67546597,1823020
"538","oklahoma_1956",2145482.89740963,1850430
"539","oklahoma_1957",2396407.15015671,3135204
"540","oklahoma_1958",2295779.83407431,1863577
"541","oklahoma_1959",3540270.17316131,2453300
"542","oklahoma_1960",3420637.65860176,1949851
"543","oklahoma_1961",3330450.95042073,3104409
"544","oklahoma_1962",3676896.45573157,2651221
"545","oregon_1947",434279.80355458,NA
"546","oregon_1948",501782.683214444,691551
"547","oregon_1949",517424.680548606,751102
"548","oregon_1950",1051653.97920727,2214948
"549","oregon_1951",574224.556010734,180334
"550","oregon_1952",580968.225986116,522006
"551","oregon_1953",556256.784014753,127074
"552","oregon_1954",509003.291531268,1202632
"553","oregon_1955",784229.905242856,18258
"554","oregon_1956",947074.346885473,1945305
"555","oregon_1957",1098822.37210549,1154065
"556","oregon_1958",1065931.23450063,4300487
"557","oregon_1959",1703741.00622136,1644497
"558","oregon_1960",1755411.47959937,1302626
"559","oregon_1961",1762412.72425929,3149569
"560","oregon_1962",1974602.33755978,1927004
"561","pennsylvania_1947",4483684.35549403,NA
"562","pennsylvania_1948",4483704.56569371,8130142
"563","pennsylvania_1949",4533785.70240528,8873548
"564","pennsylvania_1950",9346174.21779783,6740673
"565","pennsylvania_1951",5309857.59268726,2604908
"566","pennsylvania_1952",5130293.4694667,4458700
"567","pennsylvania_1953",4613850.62126927,4780253
"568","pennsylvania_1954",3986130.78522854,732799
"569","pennsylvania_1955",5795431.57574876,3915808
